All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                                           # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N75    L50   L75   # N's per 100 kbp
DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_assembly      163                  163                     102                     69                       20                       3                        2065101                 2065101                    1863278                    1608193                     878231                      282836                      163        114567          2065101       58.37   20980   10624  27    64    0.00             
DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_assembly                747                  743                     541                     347                      159                      74                       24815331                24812417                   24163490                   22774063                    19852968                    16828557                    747        3730482         24815331      60.01   186403  34778  21    118   0.00             
DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_assembly       373                  370                     281                     190                      101                      41                       8012872                 8010527                    7729301                    7056737                     5683869                     3589254                     373        219186          8012872       55.01   46353   19129  50    117   0.00             
DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_assembly       487                  486                     302                     166                      54                       9                        5269404                 5268473                    4677904                    3700818                     2018017                     577699                      487        87172           5269404       61.11   16893   8235   86    194   0.00             
DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_assembly                    1284                 1269                    1103                    860                      457                      261                      75114777                75103428                   74543366                   72712517                    66168181                    59318019                    1284       4528943         75114777      60.41   249667  64097  58    209   0.00             
DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_assembly  3698                 3674                    3133                    2462                     1241                     573                      131101357               131084785                  129383210                  124371861                   104508270                   81292663                    3697       2982123         131100861     63.55   78134   30097  320   1017  0.00             
DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_assembly  2822                 2785                    2250                    1739                     873                      407                      100529015               100502958                  98898241                   95171951                    80925797                    64553161                    2822       6603754         100529015     63.78   86365   31740  187   678   0.00             
DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_assembly     6296                 6273                    3760                    2065                     587                      212                      84058657                84040853                   76095989                   63940131                    41478581                    28678678                    6296       4288982         84058657      56.43   24463   10382  610   1978  0.00             
DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_assembly       1740                 1731                    1430                    1080                     553                      257                      56937349                56930110                   56020706                   53445966                    44894725                    34595050                    1740       2980482         56937349      60.77   71761   29461  154   473   0.00             
DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_assembly  12434                12272                   9759                    6917                     2827                     1060                     304327884               304212541                  296367006                  275362447                   210722993                   148951291                   12433      4194175         304327389     64.55   48167   19900  1126  3614  0.00             
DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_assembly                    2317                 2300                    1799                    1246                     552                      235                      67271576                67259865                   65695066                   61685560                    50624246                    39352221                    2317       3655658         67271576      57.64   70781   25174  139   546   0.00             
DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_assembly                 211                  211                     124                     50                       9                        1                        1780657                 1780657                    1516571                    982095                      317081                      54578                       211        54578           1780657       57.84   11617   6784   42    94    0.00             
DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_assembly      362                  361                     222                     135                      55                       29                       14263381                14262782                   13839269                   13199952                    11956282                    11053452                    362        5366134         14263381      50.51   446743  58923  4     23    0.00             
DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_assembly   1869                 1863                    1724                    1443                     802                      351                      72136048                72131385                   71644872                   69528594                    59178719                    43199320                    1869       1263573         72136048      65.48   64574   32250  227   624   0.00             
DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_assembly        203                  202                     129                     69                       10                       0                        1829258                 1828565                    1609829                    1186775                     331485                      0                           203        41502           1829258       60.18   12867   7464   46    91    0.00             
DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_assembly                  6744                 6605                    4923                    3370                     1529                     664                      184424010               184325428                  179144205                  167768437                   138890199                   108312221                   6741       4651761         184423270     56.49   73728   25368  398   1507  0.00             
DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_assembly       1374                 1371                    920                     538                      172                      69                       21181741                21179319                   19713913                   16957326                    11366889                    7924815                     1374       405126          21181741      60.10   28314   11913  144   440   0.00             
DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_assembly       547                  543                     365                     248                      92                       19                       7773747                 7771079                    7205186                    6379741                     3837627                     1212817                     547        92623           7773747       62.62   24570   13256  94    202   0.00             
