sample,mapTo,bestHit,filtered
DTU_2021_1010076_1_MG_Nuuk_ID90_S1_StV23C_5_mid1_S0_L001,427668059,14961583,1063734
DTU_2021_1010077_1_MG_Nuuk_ID91_S1_StV23C_5_mid2_S0_L001,417148395,15368298,869314
DTU_2021_1010078_1_MG_Nuuk_ID92_S1_StV23C_19_mid3_S0_L001,244179885,10531708,1111054
DTU_2021_1010079_1_MG_Nuuk_ID93_S1_StV23C_19_mid4_S0_L001,207672051,10327250,571548
DTU_2021_1010080_1_MG_Nuuk_ID94_S1_StV23C_35_mid5_S0_L001,170207575,8374300,530120
DTU_2021_1010081_1_MG_Nuuk_ID95_S1_StV23C_35_mid6_S0_L001,181229873,9208966,430954
DTU_2021_1010082_1_MG_Nuuk_ID96_S1_StV23C_42_mid7_S0_L001,162548589,7771379,535806
DTU_2021_1010083_1_MG_Nuuk_ID97_S1_StV23C_42_mid8_S0_L001,198096005,9956516,531698
DTU_2021_1010084_1_MG_Nuuk_ID98_S1_StV23C_49_mid9_S0_L001,231284524,11935284,783286
DTU_2021_1010085_1_MG_Nuuk_ID99_S1_StV23C_49_mid10_S0_L001,201521967,12244826,605940
DTU_2021_1010132_1_MG_Nuuk_ID150_S3_StV24A_8_1915_mid1_S0_L001,262542936,11777260,499248
DTU_2021_1010133_1_MG_Nuuk_ID151_S3_StV24A_8_1915_mid2_S0_L001,230943287,13277546,1048104
DTU_2021_1010134_1_MG_Nuuk_ID152_S3_StV24A_8_1915_mid3_S0_L001,228722715,12543350,851414
DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_S0_L001,242622780,12364816,940500
DTU_2021_1010136_1_MG_Nuuk_ID154_S3_StV24A_19_4130_mid5_S0_L001,272322935,12209926,700814
DTU_2021_1010137_1_MG_Nuuk_ID155_S3_StV24A_19_4130_mid6_S0_L001,375718280,17481890,1710176
DTU_2021_1010138_1_MG_Nuuk_ID156_S3_StV24A_41_5145_mid7_S0_L001,252185889,9803582,239234
DTU_2021_1010139_1_MG_Nuuk_ID157_S3_StV24A_41_5145_mid8_S0_L001,210130525,8438084,340898
DTU_2021_1010140_1_MG_Nuuk_ID158_S3_StV24A_51_5955_mid9_S0_L001,236841926,8639084,317552
DTU_2021_1010141_1_MG_Nuuk_ID159_S3_StV24A_51_5955_mid10_S0_L001,553158773,16765548,1034130
DTU_2021_1010142_1_MG_Nuuk_ID160_S3_StV24A_51_5955_mid11_S0_L001,450213549,16408334,1122212
DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_S0_L001,401386841,12046222,917042
