Taxon,Count
Ophiocordyceps,1
Arthrobacter sp. 13.34,1
Arthrobacter sp. RKS6-4,1
Pseudomonas sp. Y2-31-10,1
Pseudomonas sp. G1130,1
bacterium WM06i_A1D,1
Epichloe uncinata,1
Pseudomonas sp. B3049,1
Rhodoferax ferrireducens T118,1
Bacillus sp. Ult-123,1
Arthrobacter sp. Soil762,1
Bacillus sp. WN577,1
Kribbella soli,1
Bacteriovorax,1
Pseudomonas sp. A1037,1
Pseudomonas thivervalensis,1
Rhodopseudomonas sp.,1
Pseudomonas sp. G1014,1
Paenibacillus sp. PALXIL03,1
uncultured Saprospiraceae bacterium,1
Aestuariicella,1
Sanguibacter sp. Leaf3,1
Cyttaria hookeri,1
Burkholderiales bacterium JGI 0001003-L21,1
Pseudomonas sp. AZ18R1,1
Pseudomonas sp. Nj-5,1
bacterium HAB28,1
Bacillus kochii,1
Paenibacillus sp. KOPRI80156,1
Bacillus sp. PCWCS25,1
Ophiocordyceps dipterigena,1
Pseudomonas mediterranea,1
Pseudomonas sp. S6.3,1
Cyttariaceae,1
Cyttaria,1
Bradyrhizobium japonicum,1
Bacillus soli NBRC 102451,1
Limnobacter,1
Pseudogymnoascus sp. VKM F-3775,1
Arthrobacter sp. ER5,1
Pseudomonas umsongensis,1
Pseudomonas veronii,1
Paenarthrobacter nicotinovorans,1
Pseudomonas sp. HM13,1
Arthrobacter sp. B2120,1
Paenibacillus sp. IHB B 3310,1
Arthrobacter sp. SBT358,1
Arthrobacter sp. K8SC-10,1
Mycocaliciales,1
Microbacterium sp. ZT-34,1
Bacillus megaterium,2
Pseudomonas marginalis pv. marginalis,1
Cohnella sp.,1
Pseudomonas sp. GB13,1
Arthrobacter sp. Eza23,1
Bacillus firmus,1
Stenotrophomonas panacihumi,1
Pseudomonas sp. NS1(2017),1
Pseudomonas sp. XJ-2,1
Pseudomonas sp. A4.9,1
Arthrobacter sp. PGP41,1
Pseudomonas sp. Zh1N-2,1
Cellvibrionaceae,1
Tepidisphaera mucosa,1
bacterium S25,1
Pseudomonas sp. Bca38,1
Cyttariales,1
Stenotrophomonas sp. BSw21909,1
Pseudomonas sp. Amab2,1
Arthrobacter sp. EM3,1
Curtobacterium sp. B3099,1
Paenibacillus agaridevorans,1
Methylophilales bacterium MBRSF5,1
Arthrobacter sp. V3,1
Sphinctrina turbinata,1
Pseudomonas sp. PsB,1
Pseudomonas koreensis,2
Granulicella sp. AF10,1
37-13,1
Curtobacterium citreum,1
Pseudomonas sp. G1016,1
Paenibacillus sp. B3a,1
Xylogone sp. EM-2014,1
Sphinctrina,1
Paenibacillus sp. HA62,1
Paenibacillus sp. AD87,1
Paenibacillus sp. IHB B 3116,1
Klebsiella sp. HC1,1
