Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_scaffolds	2296765	72844	1175	365	86	17	1018989975	117621372	13123748	7693630	3569071	1242356	72844	129298	117621372	63.46	1479	1172	22977	45549	55.93
DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_scaffolds	2409517	108439	2770	883	255	114	1147913239	208095932	45313779	32766680	23495565	18645403	108439	1406165	208095932	63.57	1775	1257	26107	61619	54.40
DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_scaffolds	2426850	171988	8332	2129	382	146	1313785380	362852720	88857423	47151284	22507478	14501032	171988	636802	362852720	60.38	2151	1361	38820	93283	46.50
DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_scaffolds	2135468	166674	7398	1991	475	154	1177887096	357383490	83473265	47820788	25672914	14829398	166674	552968	357383490	60.40	2205	1403	38339	90314	73.60
DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_scaffolds	3114406	289226	17900	6241	1979	826	1969819177	757044416	287499432	208885404	146281017	106421181	289226	2060070	757044416	62.69	3002	1549	42106	133987	74.61
DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_scaffolds	1720227	189987	17766	6969	2392	981	1274021350	618409962	302245444	229144379	159618175	110815255	189987	1589727	618409962	64.08	4744	1906	19197	74116	66.39
DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_scaffolds	1471802	129056	11770	5120	1870	767	1007737723	436325865	228156235	183018704	133672506	95214757	129056	4010545	436325865	64.00	5709	1907	9896	46607	29.02
DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_scaffolds	2859287	211735	14091	4616	986	335	1623168279	511951935	172565624	108568377	55697327	33786330	211735	802119	511951935	60.73	2698	1475	37599	104336	71.55
DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_scaffolds	1756007	158589	10082	3367	1048	442	1102610023	425970985	164365174	119450577	85211588	64406981	158589	1390353	425970985	60.95	3145	1594	22612	72370	36.51
DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_scaffolds	1864925	221481	31292	14239	4776	1747	1624804089	914086805	558491906	440673542	297433786	192661201	221481	1833518	914086805	64.46	9016	2551	15964	67761	34.04
DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_scaffolds	1836044	158618	9637	3270	848	334	1106980217	396796303	139575621	96852220	61467304	43726161	158618	2471457	396796303	62.05	2768	1513	26084	76514	48.98
DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_scaffolds	2244978	128999	4061	459	19	1	1105875879	239247540	29655256	6376816	615653	56991	128999	56991	239247540	57.41	1862	1298	36949	76028	65.16
DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_scaffolds	2598396	149306	5147	1431	260	75	1311958967	291609924	60804063	35872477	19011898	12704106	149306	5366554	291609924	62.92	1881	1294	36877	84573	49.57
DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_scaffolds	2153576	161258	11107	3975	1278	504	1263852158	426059776	168619904	120280484	80645253	53551083	161258	1023896	426059776	62.06	3153	1543	22513	73570	41.53
DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_scaffolds	2215568	99676	2157	556	54	1	1033829061	169679311	19565771	8879001	1733829	68933	99676	68933	169679311	60.48	1611	1222	30433	61031	48.71
DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_scaffolds	2185753	151056	11953	5233	2038	898	1349785188	494502648	258289527	212309958	164190605	124395242	151056	1837021	494502648	59.92	5841	1770	9904	54136	30.22
DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_scaffolds	2021502	115385	4891	1854	643	316	1053161465	265077540	85495633	65042886	46828564	35620613	115385	528630	265077540	62.30	2324	1380	19772	58151	42.86
DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_scaffolds	1766247	52786	2688	741	180	68	790490202	112948908	32824953	19812698	11657698	7679822	52786	488081	112948908	53.92	2172	1309	10345	27761	16.01
