All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                                            # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50   N75   L50     L75     # N's per 100 kbp
DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_scaffolds      2253053              83982                   2059                    524                      92                       19                       1022369914              148452784                  20108300                   10067642                    3793795                     1319771                     472985     127706          402927859     62.61   806   609   143466  289102  30.28            
DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_scaffolds                2351897              120618                  3485                    751                      169                      47                       1137577164              232967982                  41983312                   23934320                    15792158                    11576111                    539078     3592331         509485678     63.38   923   642   143314  311921  45.65            
DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_scaffolds       2387088              175788                  9209                    2271                     282                      73                       1305472378              376909490                  93457464                   46940498                    18687701                    11733069                    665045     1200093         703548347     60.70   1081  686   151592  360877  36.35            
DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_scaffolds       2103237              168886                  8026                    1974                     465                      163                      1173153100              370251219                  88310199                   48403686                    26333476                    16096599                    573132     525032          640796693     60.84   1200  716   123221  300874  58.92            
DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_scaffolds                    3055298              282271                  18929                   6289                     1679                     662                      1920681343              737045184                  275377563                  190024481                   122491425                   87806569                    932712     4530187         1174552795    62.85   1423  764   155044  448121  295.74           
DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_scaffolds  1621130              171310                  18744                   6089                     1240                     444                      1147512080              536369009                  248477411                  162330338                   91604695                    64641326                    492341     3269223         752187251     63.98   2229  895   58546   200720  66.46            
DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_scaffolds  1411828              119302                  11724                   4275                     1074                     392                      918137974               374855436                  179666686                  128937712                   81451198                    58387359                    406389     5950039         566056849     63.37   1819  794   48685   175411  38.73            
DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_scaffolds     2735370              215951                  13471                   3796                     734                      227                      1554376904              508797368                  150878680                  86096122                    42079038                    24899186                    743148     650714          861124882     61.62   1259  724   145781  378966  62.04            
DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_scaffolds       1687195              153167                  11937                   3285                     617                      198                      1046127583              404224892                  147233299                  89042422                    51080044                    36821877                    484462     5279787         626072043     61.20   1545  779   78480   227653  33.81            
DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_scaffolds  1706508              190951                  25370                   9215                     2516                     986                      1346783427              706119621                  388195271                  277585158                   179048058                   127118324                   534638     1340065         937058904     63.67   3192  1012  45671   187645  60.79            
DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_scaffolds                    1766218              155736                  10227                   2816                     611                      178                      1055274390              381226436                  120240020                  70895175                    39114040                    24493973                    505005     4321206         615124344     62.76   1385  752   92480   248975  133.73           
DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_scaffolds                 2213832              133796                  4929                    609                      9                        1                        1105303097              257025249                  36247472                   8120082                     299388                      57730                       532901     57730           521403355     60.41   985   657   137502  302904  40.72            
DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_scaffolds      2562568              153715                  5696                    1574                     265                      52                       1304952296              304886871                  62599783                   34924746                    16153513                    8876935                     654522     2968994         637433012     63.11   959   654   167843  372986  36.02            
DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_scaffolds   2043101              163610                  13010                   3240                     594                      200                      1188019968              410150282                  135442332                  69648334                    32544453                    19115074                    547745     608614          665880529     61.49   1395  741   97470   268381  36.94            
DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_scaffolds        2184125              105523                  2838                    662                      62                       4                        1033723457              188561620                  25059334                   10593671                    2150137                     236046                      496850     76838           446582724     60.84   873   629   142807  295907  29.70            
DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_scaffolds                  2075529              148754                  11576                   3627                     870                      328                      1203201371              404719323                  161591615                  107995243                   68201219                    49534475                    546727     1853650         669010668     62.23   1366  728   87974   263907  38.26            
DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_scaffolds       2001937              115480                  4214                    1190                     345                      175                      1033450365              255191341                  72203574                   51983886                    39744647                    33853182                    498185     1495579         508716923     62.96   1003  662   114649  274485  39.50            
DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_scaffolds       1713830              65048                   3384                    620                      70                       26                       786026666               140075718                  33761666                   15584737                    8116332                     6672530                     319807     963199          305590057     58.51   913   627   78386   181903  10.64            
