All statistics are based on contigs of size >= 1000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_scaffolds  DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_scaffolds  DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_scaffolds  DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_scaffolds  DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_scaffolds  DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_scaffolds  DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_scaffolds  DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_scaffolds  DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_scaffolds  DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_scaffolds  DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_scaffolds  DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_scaffolds  DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_scaffolds  DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_scaffolds  DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_scaffolds  DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_scaffolds  DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_scaffolds  DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_scaffolds
Total length (>= 25000 bp)  3793795                                                         15792158                                              18687701                                                       26333476                                                       122491425                                         91604695                                                            81451198                                                            42079038                                                         51080044                                                       179048058                                                           39114040                                          299388                                               16153513                                                        32544453                                                           2150137                                                       68201219                                            39744647                                                       8116332                                                      
Total length (>= 50000 bp)  1319771                                                         11576111                                              11733069                                                       16096599                                                       87806569                                          64641326                                                            58387359                                                            24899186                                                         36821877                                                       127118324                                                           24493973                                          57730                                                8876935                                                         19115074                                                           236046                                                        49534475                                            33853182                                                       6672530                                                      
# contigs                   83982                                                           120618                                                175788                                                         168886                                                         282271                                            171310                                                              119302                                                              215951                                                           153167                                                         190951                                                              155736                                            133796                                               153715                                                          163610                                                             105523                                                        148754                                              115480                                                         65048                                                        
Largest contig              127706                                                          3592331                                               1200093                                                        525032                                                         4530187                                           3269223                                                             5950039                                                             650714                                                           5279787                                                        1340065                                                             4321206                                           57730                                                2968994                                                         608614                                                             76838                                                         1853650                                             1495579                                                        963199                                                       
Total length                148452784                                                       232967982                                             376909490                                                      370251219                                                      737045184                                         536369009                                                           374855436                                                           508797368                                                        404224892                                                      706119621                                                           381226436                                         257025249                                            304886871                                                       410150282                                                          188561620                                                     404719323                                           255191341                                                      140075718                                                    
GC (%)                      63.04                                                           63.49                                                 60.55                                                          60.43                                                          62.78                                             64.08                                                               63.99                                                               61.29                                                            60.94                                                          64.03                                                               62.32                                             57.69                                                63.14                                                           61.69                                                              60.72                                                         60.98                                               62.42                                                          55.75                                                        
N50                         1682                                                            1879                                                  2225                                                           2302                                                           3022                                              4358                                                                4554                                                                2596                                                             3144                                                           6145                                                                2740                                              1965                                                 1946                                                            2951                                                               1722                                                          3363                                                2203                                                           2284                                                         
N75                         1233                                                            1300                                                  1386                                                           1435                                                           1566                                              1920                                                                1847                                                                1492                                                             1631                                                           2293                                                                1542                                              1331                                                 1317                                                            1585                                                               1256                                                          1620                                                1368                                                           1390                                                         
L50                         24135                                                           31096                                                 39688                                                          38436                                                          43552                                             22968                                                               13352                                                               43402                                                            26025                                                          19016                                                               29938                                             37155                                                38032                                                           31530                                                              30612                                                         21660                                               22357                                                          14695                                                        
L75                         50312                                                           69028                                                 94753                                                          90567                                                          131914                                            71221                                                               47656                                                               109948                                                           72263                                                          68345                                                               77656                                             77554                                                86643                                                           80407                                                              63112                                                         67099                                               60194                                                          34870                                                        
# N's per 100 kbp           42.54                                                           64.19                                                 44.70                                                          71.59                                                          437.98                                            64.86                                                               42.91                                                               68.87                                                            36.95                                                          63.59                                                               192.80                                            58.98                                                46.31                                                           40.93                                                              41.87                                                         41.64                                               51.94                                                          15.20                                                        
