Taxon,Count
Bradyrhizobium sp. LmicT2,1
Serratia proteamaculans,1
Serratia sp. TV24Nov,1
uncultured Bellilinea sp.,1
Rahnella sp.,1
Micromonospora sp. AV135,1
Flavitalea antarctica,1
Bradyrhizobium valentinum,1
uncultured Orbiliaceae,1
Afipia sp. GAS231,1
