sample_id	place	site_id	displacement	collection_year	site_cat	displ_cat	s_type	idnum	soil_char	extraction	control_pairs	latitude	longitude
Nar_ID1_SFA_P1_0_5	Narsarsuaq	SFA_P1_0_5	0_5	2020	SFA	0_05	soil	1	snow	21/04/2021	NA	61°11.034'N	-45°22.122'W
Nar_ID2_SFA_P1_5_10	Narsarsuaq	SFA_P1_5_10	5_10	2020	SFA	05_10	soil	2	snow	21/04/2021	NA	61°11.034'N	-45°22.122'W
Nar_ID3_SFA_P2_0_5	Narsarsuaq	SFA_P2_0_5	0_5	2020	SFA	0_05	soil	3	free-of-snow	21/04/2021	NA	61°11.034'N	-45°22.122'W
Nar_ID4_SFA_P2_5_10	Narsarsuaq	SFA_P2_5_10	5_10	2020	SFA	05_10	soil	4	free-of-snow	21/04/2021	NA	61°11.034'N	-45°22.122'W
Nar_ID5_SFA_P3_0_5	Narsarsuaq	SFA_P3_0_5	0_5	2020	SFA	0_05	soil	5	snow	21/04/2021	NA	61°11.034'N	-45°22.122'W
Nar_ID6_SFA_P3_5_10	Narsarsuaq	SFA_P3_5_10	5_10	2020	SFA	05_10	soil	6	snow	21/04/2021	NA	61°11.034'N	-45°22.122'W
Nar_ID7_SFA_P4_0_5	Narsarsuaq	SFA_P4_0_5	0_5	2020	SFA	0_05	soil	7	free-of-snow	21/04/2021	NA	61°11.034'N	-45°22.122'W
Nar_ID8_SFA_P4_5_10	Narsarsuaq	SFA_P4_5_10	5_10	2020	SFA	05_10	soil	8	free-of-snow	21/04/2021	NA	61°11.034'N	-45°22.122'W
Nar_ID17_SFB_P5_0_5	Narsarsuaq	SFB_P5_0_5	0_5	2020	SFB	0_05	soil	17	snow	21/04/2021	NA	61°11.032'N	-45°22.114'W
Nar_ID18_SFB_P5_5_10	Narsarsuaq	SFB_P5_5_10	5_10	2020	SFB	05_10	soil	18	snow	21/04/2021	NA	61°11.032'N	-45°22.114'W
Nar_ID19_SFB_P6_0_5	Narsarsuaq	SFB_P6_0_5	0_5	2020	SFB	0_05	soil	19	free-of-snow	21/04/2021	NA	61°11.032'N	-45°22.114'W
Nar_ID20_SFB_P6_5_10	Narsarsuaq	SFB_P6_5_10	5_10	2020	SFB	05_10	soil	20	free-of-snow	21/04/2021	NA	61°11.032'N	-45°22.114'W
Nar_ID21_SFB_P7_0_5	Narsarsuaq	SFB_P7_0_5	0_5	2020	SFB	0_05	soil	21	snow	21/04/2021	NA	61°11.032'N	-45°22.114'W
Nar_ID22_SFB_P7_5_10	Narsarsuaq	SFB_P7_5_10	5_10	2020	SFB	05_10	soil	22	snow	21/04/2021	NA	61°11.032'N	-45°22.114'W
Nar_ID23_SFB_P8_0_5	Narsarsuaq	SFB_P8_0_5	0_5	2020	SFB	0_05	soil	23	free-of-snow	21/04/2021	NA	61°11.032'N	-45°22.114'W
Nar_ID24_SFB_P8_5_10	Narsarsuaq	SFB_P8_5_10	5_10	2020	SFB	05_10	soil	24	free-of-snow	21/04/2021	NA	61°11.032'N	-45°22.114'W
Nar_ID25_SFC_P9_0_5	Narsarsuaq	SFC_P9_0_5	0_5	2020	SFC	0_05	soil	25	snow	22/04/2021	NA	61°11.012'N	-45°22.149'W
Nar_ID26_SFC_P9_5_10	Narsarsuaq	SFC_P9_5_10	5_10	2020	SFC	05_10	soil	26	snow	22/04/2021	NA	61°11.012'N	-45°22.149'W
Nar_ID27_SFC_P10_0_5	Narsarsuaq	SFC_P10_0_5	0_5	2020	SFC	0_05	soil	27	free-of-snow	22/04/2021	NA	61°11.012'N	-45°22.149'W
Nar_ID28_SFC_P10_5_10	Narsarsuaq	SFC_P10_5_10	5_10	2020	SFC	05_10	soil	28	free-of-snow	22/04/2021	NA	61°11.012'N	-45°22.149'W
Nar_ID29_SFC_P11_0_5	Narsarsuaq	SFC_P11_0_5	0_5	2020	SFC	0_05	soil	29	snow	22/04/2021	NA	61°11.012'N	-45°22.149'W
Nar_ID30_SFC_P11_5_10	Narsarsuaq	SFC_P11_5_10	5_10	2020	SFC	05_10	soil	30	snow	22/04/2021	NA	61°11.012'N	-45°22.149'W
Nar_ID31_SFC_P12_0_5	Narsarsuaq	SFC_P12_0_5	0_5	2020	SFC	0_05	soil	31	free-of-snow	22/04/2021	NA	61°11.012'N	-45°22.149'W
Nar_ID32_SFC_P12_5_10	Narsarsuaq	SFC_P12_5_10	5_10	2020	SFC	05_10	soil	32	free-of-snow	22/04/2021	NA	61°11.012'N	-45°22.149'W
Nar_ID37_SFD_P13_0_5	Narsarsuaq	SFD_P13_0_5	0_5	2020	SFD	0_05	soil	37	snow	22/04/2021	NA	61°11.017'N	-45°22.167'W
Nar_ID38_SFD_P13_5_10	Narsarsuaq	SFD_P13_5_10	5_10	2020	SFD	05_10	soil	38	snow	22/04/2021	NA	61°11.017'N	-45°22.167'W
Nar_ID39_SFD_P14_0_5	Narsarsuaq	SFD_P14_0_5	0_5	2020	SFD	0_05	soil	39	free-of-snow	22/04/2021	NA	61°11.017'N	-45°22.167'W
Nar_ID40_SFD_P14_5_10	Narsarsuaq	SFD_P14_5_10	5_10	2020	SFD	05_10	soil	40	free-of-snow	22/04/2021	NA	61°11.017'N	-45°22.167'W
Nar_ID41_SFD_P15_0_5	Narsarsuaq	SFD_P15_0_5	0_5	2020	SFD	0_05	soil	41	snow	22/04/2021	NA	61°11.017'N	-45°22.167'W
Nar_ID42_SFD_P15_5_10	Narsarsuaq	SFD_P15_5_10	5_10	2020	SFD	05_10	soil	42	snow	22/04/2021	NA	61°11.017'N	-45°22.167'W
