count,species,genus,family,order,class,phylum,kingdom,superkingdom
6,uncultured Frankiaceae bacterium,-,Frankiaceae,Frankiales,Actinomycetia,Actinobacteria,-,Bacteria
87,Thermoleophilia bacterium SCSIO 60948,-,-,-,Thermoleophilia,Actinobacteria,-,Bacteria
109,Neobacillus drentensis,Neobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
86,Paenibacillus sp. YPD9-1,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
9,uncultured Micromonospora sp.,Micromonospora,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,-,Bacteria
2057,uncultured bacterium,-,-,-,-,-,-,Bacteria
76,Criblamydia sequanensis,Criblamydia,Criblamydiaceae,Parachlamydiales,Chlamydiia,Chlamydiae,-,Bacteria
2,uncultured Caldilineaceae bacterium,-,Caldilineaceae,Caldilineales,Caldilineae,Chloroflexi,-,Bacteria
38,Mycobacterium avium,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
3,Nitrospira sp. enrichment culture clone LUA16,Nitrospira,Nitrospiraceae,Nitrospirales,Nitrospira,Nitrospirae,-,Bacteria
7,Paenibacillus sp. FSL R5-0345,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
74,uncultured Gemmatimonas sp.,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadales,Gemmatimonadetes,Gemmatimonadetes,-,Bacteria
7,uncultured Actinomycetales bacterium,-,-,Actinomycetales,Actinomycetia,Actinobacteria,-,Bacteria
16,uncultured Rubrobacteraceae bacterium,-,Rubrobacteraceae,Rubrobacterales,Rubrobacteria,Actinobacteria,-,Bacteria
26,uncultured Rubrobacterales bacterium,-,-,Rubrobacterales,Rubrobacteria,Actinobacteria,-,Bacteria
48,Bacillus paralicheniformis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
2,Wiesneriomyces laurinus,Wiesneriomyces,Wiesneriomycetaceae,Tubeufiales,Dothideomycetes,Ascomycota,Fungi,Eukaryota
401,Homo sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota
81,Bacillus velezensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
45,[Brevibacterium] frigoritolerans,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
4,Parasitella parasitica,Parasitella,Mucoraceae,Mucorales,Mucoromycetes,Mucoromycota,Fungi,Eukaryota
7,uncultured Patulibacter sp.,Patulibacter,Patulibacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,-,Bacteria
5,Pleosporales sp. MSW,-,-,Pleosporales,Dothideomycetes,Ascomycota,Fungi,Eukaryota
32,uncultured Acidimicrobium sp.,Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,-,Bacteria
5,uncultured Acidobacteriaceae bacterium,-,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,-,Bacteria
2,Paenibacillus sp. FSL R7-0331,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
12,Arthrobacter saudimassiliensis,Arthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
6,uncultured Verrucomicrobia bacterium,-,-,-,-,Verrucomicrobia,-,Bacteria
2,Paenibacillus durus,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
14,Paenibacillus sp. FSL P4-0081,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
11,uncultured beta proteobacterium,-,-,-,Betaproteobacteria,Proteobacteria,-,Bacteria
1,Truncatella angustata,Truncatella,Sporocadaceae,Xylariales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
2,uncultured eukaryote,-,-,-,-,-,-,Eukaryota
84,uncultured actinobacterium,-,-,-,Actinomycetia,Actinobacteria,-,Bacteria
1,Acidovorax sp. YS12,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
4,Virgibacillus sp. NKC19-16,Virgibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
4,Streptomyces sp. AMCC400023,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteria,-,Bacteria
7,Candidatus Brocadia sp.,Candidatus Brocadia,Candidatus Brocadiaceae,Candidatus Brocadiales,Candidatus Brocadiia,Planctomycetes,-,Bacteria
1,Cellulomonas sp. EW123,Cellulomonas,Cellulomonadaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
3,Ilyonectria robusta,Ilyonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
10,uncultured Conexibacter sp.,Conexibacter,Conexibacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,-,Bacteria
1,Nitrosomonas sp.,Nitrosomonas,Nitrosomonadaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,-,Bacteria
2,Angelina rufescens,Angelina,-,Rhytismatales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
1,CP091382.1,CP091382.1,CP091382.1,CP091382.1,CP091382.1,CP091382.1,CP091382.1,CP091382.1
2,Paenibacillus sp. FSL R5-0912,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
2,uncultured Rhodocyclaceae bacterium,-,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,-,Bacteria
1,Paenibacillus sp. B4(2014),Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
13,Rhodanobacter denitrificans,Rhodanobacter,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
3,Paenibacillus graminis,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,uncultured Chloroflexus sp.,Chloroflexus,Chloroflexaceae,Chloroflexales,Chloroflexia,Chloroflexi,-,Bacteria
1,Chlamydia pecorum,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,-,Bacteria
1,Penicillium sp. F21 MAN-2013,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,Eukaryota
7,Paenibacillus odorifer,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
3,Bacillus sp. X1(2014),Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
2,Paenibacillus borealis,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
67,Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
79,Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,uncultured Pelobacter sp.,Pelobacter,Desulfuromonadaceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,-,Bacteria
1,Talaromyces proteolyticus,Talaromyces,Trichocomaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,Eukaryota
2,Sandaracinus amylolyticus,Sandaracinus,Sandaracinaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,-,Bacteria
1,Jeotgalibaca sp. MA1X17-3,Jeotgalibaca,Carnobacteriaceae,Lactobacillales,Bacilli,Firmicutes,-,Bacteria
1,Fusarium pseudograminearum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
4,Nocardiopsis sp. BM-2018,Nocardiopsis,Nocardiopsaceae,Streptosporangiales,Actinomycetia,Actinobacteria,-,Bacteria
3,Micromonospora matsumotoense,Micromonospora,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,-,Bacteria
1,Microbacterium sp. JZ31,Microbacterium,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
105,Niallia circulans,Niallia,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
23,Bradyrhizobium sp. PSBB068,Bradyrhizobium,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
4,Mycobacterium riyadhense,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
30,Variovorax paradoxus,Variovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
17,Paenibacillus chitinolyticus,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
5,Xanthobacter dioxanivorans,Xanthobacter,Xanthobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
2,Rhodanobacter sp. FDAARGOS 1247,Rhodanobacter,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
7,Archangium violaceum,Archangium,Archangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,-,Bacteria
10,Arthrobacter crystallopoietes,Arthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
10,Kribbella karoonensis,Kribbella,Kribbellaceae,Propionibacteriales,Actinomycetia,Actinobacteria,-,Bacteria
4,Kineosporia sp.,Kineosporia,Kineosporiaceae,Kineosporiales,Actinomycetia,Actinobacteria,-,Bacteria
7,Geobacter sp. SVR,Geobacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,-,Bacteria
1,Pseudomonas granadensis,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
4,Hyphomicrobium facile,Hyphomicrobium,Hyphomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
6,Herbaspirillum sp.,Herbaspirillum,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
17,Pseudogymnoascus sp.,Pseudogymnoascus,Pseudeurotiaceae,-,Leotiomycetes,Ascomycota,Fungi,Eukaryota
2,Glutamicibacter protophormiae,Glutamicibacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
4,Ostropomyces pruinosellus,Ostropomyces,Stictidaceae,Ostropales,Lecanoromycetes,Ascomycota,Fungi,Eukaryota
2,Agrobacterium rhizogenes,Agrobacterium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
1,Actinomadura nitritigenes,Actinomadura,Thermomonosporaceae,Streptosporangiales,Actinomycetia,Actinobacteria,-,Bacteria
7,Rhodococcus aetherivorans,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
11,Brevibacillus choshinensis,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,Brevibacterium sp.,Brevibacterium,Brevibacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
2,Corynebacterium kroppenstedtii,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
1,Streptococcus oralis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,-,Bacteria
1,Mycolicibacterium arabiense,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
23,Arthrobacter humicola,Arthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
1,Metabacillus sp. cB07,Metabacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,Amycolatopsis sp. FDAARGOS 1241,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinomycetia,Actinobacteria,-,Bacteria
1,Phyllactinia fraxini,Phyllactinia,Erysiphaceae,Erysiphales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
144,Neobacillus niacini,Neobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
139,Paenarthrobacter ureafaciens,Paenarthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
121,Peribacillus psychrosaccharolyticus,Peribacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
59,Penicillium roqueforti,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,Eukaryota
22,Neobacillus novalis,Neobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
8,Actinobacteria bacterium,-,-,-,-,Actinobacteria,-,Bacteria
67,Heyndrickxia sporothermodurans,Heyndrickxia,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
69,Bradyrhizobium diazoefficiens,Bradyrhizobium,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
3,Geomonas anaerohicana,Geomonas,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,-,Bacteria
10,Streptomyces sp. ZYC-3,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteria,-,Bacteria
7,Bacillus mojavensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
47,Rhodospirillales bacterium,-,-,Rhodospirillales,Alphaproteobacteria,Proteobacteria,-,Bacteria
25,Curtobacterium sp. YC1,Curtobacterium,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
2,Corynebacterium glucuronolyticum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
5,Brevibacillus composti,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
2,Sclerencoelia fascicularis,Sclerencoelia,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
8,Acidobacteria bacterium,-,-,-,-,Acidobacteria,-,Bacteria
2,Candidatus Moranbacteria bacterium,-,-,-,-,Candidatus Moranbacteria,-,Bacteria
2,Rhodococcus sp. P-2,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
19395,Paenibacillus xylanexedens,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
23,Moraxella osloensis,Moraxella,Moraxellaceae,Moraxellales,Gammaproteobacteria,Proteobacteria,-,Bacteria
12,Pedococcus aerophilus,Pedococcus,Intrasporangiaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
1,Moraxella nonliquefaciens,Moraxella,Moraxellaceae,Moraxellales,Gammaproteobacteria,Proteobacteria,-,Bacteria
21,Bacteroidetes bacterium,-,-,-,-,Bacteroidetes,-,Bacteria
1,Botrytis byssoidea,Botrytis,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
3,Paenibacillus vini,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
2,Paraburkholderia ginsengisoli,Paraburkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
68,Heyndrickxia oleronia,Heyndrickxia,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
3,Robertmurraya siralis,Robertmurraya,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
2,Mycobacterium paraintracellulare,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
5,Flavobacteriales bacterium,-,-,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
3,Botrytis sinoallii,Botrytis,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
1,Corynebacterium propinquum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
1,Actinocatenispora thailandica,Actinocatenispora,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,-,Bacteria
1,Lysinibacillus agricola,Lysinibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
6,Parageobacillus toebii,Parageobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,Candidatus Falkowbacteria bacterium,-,-,-,-,Candidatus Falkowbacteria,-,Bacteria
1,Cupriavidus sp. ISTL7,Cupriavidus,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
1,Godronia urceolus,Godronia,Godroniaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
1,Sphingomonas kyeonggiensis,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,-,Bacteria
1,Paenibacillus lactis,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,Myxococcales bacterium,-,-,Myxococcales,Deltaproteobacteria,Proteobacteria,-,Bacteria
1,Paenibacillus harenae,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
284,Arthrobacter sp.,Arthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
25,Pseudomonas fluorescens,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Pseudogymnoascus palmeri,Pseudogymnoascus,Pseudeurotiaceae,-,Leotiomycetes,Ascomycota,Fungi,Eukaryota
1,Leuconostoc citreum,Leuconostoc,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,-,Bacteria
10,Mycobacterium intracellulare,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
1,Kaistia sp. 32K,Kaistia,Kaistiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
1,Ascomycota sp.,-,-,-,-,Ascomycota,Fungi,Eukaryota
1,Cryobacterium sp. SO1,Cryobacterium,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
