Taxon,Count
unidentified phage,1
Bacillus sp. MD1,1
Cupriavidus,1
uncultured Sphingomonadaceae bacterium,1
Bacillus sp. OK048,1
Bacillus sp. DB14387,1
uncultured Nucleariidae,1
Bacillus sp. dsH1,1
Rhizobiales bacterium GAS188,1
Bacillus salsus,1
Acetobacteraceae bacterium WX59,1
Bdellovibrionales bacterium GWC1_52_8,1
bacterium enrichment culture clone auto195_4W,1
Cupriavidus sp. UYMMa02A,1
Bacillus circulans,1
Serratia sp. P2ACOL2,1
Bradyrhizobium sp. UNPF53,1
