count,species,genus,family,order,class,phylum,kingdom,superkingdom
76,unidentified,-,-,-,-,-,-,-
344,Klebsiella michiganensis,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
824,Pantoea agglomerans,Pantoea,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
4,Clostridium gasigenes,Clostridium,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,-,Bacteria
64,Nitrosospira sp. NRS527,Nitrosospira,Nitrosomonadaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,-,Bacteria
899,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
2,Burkholderia anthina,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
22,Mucilaginibacter rubeus,Mucilaginibacter,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,-,Bacteria
14,Yersinia ruckeri,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
4,Gordonia polyisoprenivorans,Gordonia,Gordoniaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
14,Aegilops tauschii,Aegilops,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
7,Malassezia restricta,Malassezia,Malasseziaceae,Malasseziales,Malasseziomycetes,Basidiomycota,Fungi,Eukaryota
7,Streptomyces nodosus,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteria,-,Bacteria
630,Pseudomonas fluorescens,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Rhizobium sp. NZLR1,Rhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
1,Yimella sp. cx-51,Yimella,Dermacoccaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
6,Pseudomonas sp. PP3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Brevilactibacter sp. MC1595,Brevilactibacter,Propionibacteriaceae,Propionibacteriales,Actinomycetia,Actinobacteria,-,Bacteria
2,Lysobacter sp.,Lysobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
4,Sporosarcina sp. Te-1,Sporosarcina,Planococcaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
3,Pengzhenrongella sicca,Pengzhenrongella,-,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
4,Mucilaginibacter gossypii,Mucilaginibacter,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,-,Bacteria
1,Brevundimonas pondensis,Brevundimonas,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,-,Bacteria
5,Rhizobium leguminosarum,Rhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
1,Streptomyces sp. AgN23,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteria,-,Bacteria
1,uncultured Tremellales,-,-,Tremellales,Tremellomycetes,Basidiomycota,Fungi,Eukaryota
25,Lysinibacillus sphaericus,Lysinibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
20,Linnemannia elongata,Linnemannia,Mortierellaceae,Mortierellales,Mortierellomycetes,Mucoromycota,Fungi,Eukaryota
2,Roseomonas marmotae,Roseomonas,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,-,Bacteria
5,Cohnella sp. LGH,Cohnella,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
591,Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota
269,uncultured Acidobacteria bacterium,-,-,-,-,Acidobacteria,-,Bacteria
107,Debaryomyces hansenii,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota
3,Musa acuminata,Musa,Musaceae,Zingiberales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
258,Bradyrhizobium sp.,Bradyrhizobium,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
245,Homo sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota
1,Wickerhamomyces sp. CFC-2018a,Wickerhamomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota
1,Biston betularia,Biston,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa,Eukaryota
1,Cylindrosporium sp. KP-2020a,Cylindrosporium,Dermateaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
3,Paenarthrobacter ureafaciens,Paenarthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
5495,Serratia marcescens,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
6,Neobacillus niacini,Neobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
571,Yersinia enterocolitica,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
258,Bradyrhizobium diazoefficiens,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
71,Arthrobacter sp. PAMC 25486,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,-,Bacteria
260,Bradyrhizobium diazoefficiens,Bradyrhizobium,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
20,Yersinia rohdei,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Solicoccozyma terricola,Solicoccozyma,Piskurozymaceae,Filobasidiales,Tremellomycetes,Basidiomycota,Fungi,Eukaryota
124,Paeniclostridium sordellii,Paeniclostridium,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,-,Bacteria
3402,Yersinia intermedia,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
639,uncultured fungus,-,-,-,-,-,Fungi,Eukaryota
13,Populus euphratica,Populus,Salicaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
132,Clostridium baratii,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,-,Bacteria
2,Burkholderia plantarii,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
3,Penicillium crustosum,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,Eukaryota
18,Paenibacillus sp. IHBB 10380,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
188,Pseudomonas chlororaphis,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
13,Paraburkholderia fungorum,Paraburkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
3,Paenibacillus sp. FSL H7-0737,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
14,Articulospora proliferata,Articulospora,Discinellaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
53,Botrytis cinerea,Botrytis,Sclerotiniaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
1296,uncultured bacterium,-,-,-,-,-,-,Bacteria
11,Leuconeurospora pulcherrima,Leuconeurospora,Pseudeurotiaceae,-,Leotiomycetes,Ascomycota,Fungi,Eukaryota
3411,[Candida] sake,Teunomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota
26,Collimonas arenae,Collimonas,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
2,cyanobacterium ARS04068_00002,-,-,-,-,Cyanobacteria,-,Bacteria
3,Trichoderma harzianum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
2,Verrucomicrobia bacterium IMCC26134,-,-,-,-,Verrucomicrobia,-,Bacteria
1,Xanthomonas sacchari,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Streptomyces vietnamensis,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteria,-,Bacteria
16,Cystofilobasidium capitatum,Cystofilobasidium,Cystofilobasidiaceae,Cystofilobasidiales,Tremellomycetes,Basidiomycota,Fungi,Eukaryota
6,Rhizophagus sp. DAOM 213198,Rhizophagus,Glomeraceae,Glomerales,Glomeromycetes,Mucoromycota,Fungi,Eukaryota
1,Heterobasidion irregulare,Heterobasidion,Bondarzewiaceae,Russulales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
16,Pan troglodytes,Pan,Hominidae,Primates,Mammalia,Chordata,Metazoa,Eukaryota
2,Actinobacteria bacterium IMCC26256,-,-,-,Actinobacteria,Actinobacteria,-,Bacteria
3,Zea mays,Zea,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
6,Legionella fallonii,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,-,Bacteria
4,Bacillus paralicheniformis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
18,Articulospora atra,Articulospora,Discinellaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,Eukaryota
2,uncultured Mortierella,-,Mortierellaceae,Mortierellales,Mortierellomycetes,Mucoromycota,Fungi,Eukaryota
1,Hoeflea sp. IMCC20628,Hoeflea,Phyllobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
4,Paenibacillus riograndensis,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,Dioon merolae,Dioon,Zamiaceae,Cycadales,Cycadopsida,Streptophyta,Viridiplantae,Eukaryota
3,Cellulophaga baltica,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
5,Rhodococcus sp. B7740,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,-,Bacteria
2,uncultured methanotrophic bacterium,-,-,-,-,-,-,Bacteria
2,Pelosinus fermentans,Pelosinus,Sporomusaceae,Selenomonadales,Negativicutes,Firmicutes,-,Bacteria
1,Debaryomyces sp. P3,Debaryomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Fungi,Eukaryota
1,Pseudomonas sp. MF3600,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
3,Staphylococcus capitis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
3,Rugosibacter aromaticivorans,Rugosibacter,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,-,Bacteria
