All statistics are based on contigs of size >= 1000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                                           # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50    N75   L50    L75     # N's per 100 kbp
DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_assembly      2296907              72986                   1269                    430                      105                      20                       1020915424              119546821                  14885621                   9230839                     4413471                     1525192                     72986      129298          119546821     63.38   1494   1176  22471  45281   55.03            
DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_assembly                2410146              109066                  3267                    1217                     413                      187                      1172058280              232239777                  69028944                   55297562                    43257916                    35383343                    109066     3730482         232239777     63.20   1992   1299  20293  57520   48.75            
DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_assembly       2427187              172323                  8598                    2317                     483                      187                      1321611450              370677291                  96466561                   54180160                    28191347                    18090286                    172323     636802          370677291     60.27   2207   1372  37358  92186   45.52            
DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_assembly       2135887              167092                  7690                    2152                     528                      163                      1182864101              362359564                  88037058                   51443232                    27664542                    15407097                    167092     552968          362359564     60.41   2239   1411  37636  89847   72.59            
DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_assembly                    3115564              290381                  18944                   7075                     2431                     1085                     2044006904              831229734                  361284415                  281066889                   212225283                   165619791                   290381     4528943         831229734     62.48   3594   1631  31927  123469  67.95            
DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_assembly  1723649              193400                  20802                   9400                     3629                     1554                     1403695141              748076918                  430675854                  353015739                   263987528                   192107918                   193400     2982123         748076918     64.00   8146   2242  11736  61796   54.88            
DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_assembly  1474333              131567                  13902                   6797                     2718                     1159                     1104543571              533117107                  323764791                  275278875                   212271475                   157772178                   131567     6603754         533117107     63.99   11429  2306  5982   37528   23.75            
DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_assembly     2864321              216762                  17543                   6611                     1564                     545                      1701510660              590289083                  245720705                  171213997                   96750900                    62291402                    216762     4288982         590289083     60.14   3441   1587  29572  96556   62.05            
DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_assembly       1757614              160193                  11476                   4440                     1601                     699                      1159029686              482387843                  220106713                  172805002                   130106313                   99002031                    160193     2980482         482387843     60.93   4025   1717  16204  65444   32.24            
DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_assembly  1875803              232304                  40491                   20974                    7579                     2801                     1920429548              1209671370                 848697507                  712485378                   506876477                   340921830                   232304     4194175         1209671370    64.51   16307  3687  12474  54178   25.72            
DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_assembly                    1838070              160637                  11330                   4478                     1387                     562                      1172146818              461958281                  203660065                  157391301                   111293518                   82489772                    160637     3655658         461958281     61.44   3687   1642  17769  68184   42.07            
DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_assembly                 2245151              129172                  4178                    508                      28                       2                        1107500258              240871919                  31105118                   7339433                     932734                      111569                      129172     56991           240871919     57.41   1873   1301  36686  75888   64.72            
DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_assembly      2598700              149610                  5359                    1565                     314                      104                      1325999238              305650195                  74549344                   49040795                    30936546                    23757558                    149610     5366554         305650195     62.34   1970   1313  33531  82184   47.29            
DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_assembly   2155356              163036                  12785                   5401                     2080                     855                      1335429612              497635766                  239839981                  189584633                   139823972                   96750403                    163036     1263573         497635766     62.55   4515   1695  14679  64273   35.56            
DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_assembly        2215744              99852                   2281                    625                      64                       1                        1035571339              171421589                  21147449                   10065776                    2065314                     68933                       99852      68933           171421589     60.47   1623   1225  30070  60851   48.22            
DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_assembly                  2191032              156298                  16225                   8282                     3460                     1528                     1521387614              666077496                  426687545                  371635474                   297902225                   230088740                   156298     4651761         666077496     59.04   16173  2395  5229   38326   22.44            
DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_assembly       2022217              116098                  5484                    2272                     805                      385                      1069994884              281909472                  101921629                  80165849                    57874127                    43545428                    116098     528630          281909472     62.17   2560   1415  17029  55852   40.30            
DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_assembly       1766698              53236                   3031                    982                      272                      87                       797843129               120301125                  39830430                   26097669                    15495325                    8892639                     53236      488081          120301125     54.46   2391   1340  9177   26822   15.03            
