All statistics are based on contigs of size >= 1000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_assembly  DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_assembly  DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_assembly  DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_assembly  DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_assembly  DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_assembly  DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_assembly  DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_assembly  DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_assembly  DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_assembly  DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_assembly  DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_assembly  DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_assembly  DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_assembly  DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_assembly  DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_assembly  DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_assembly  DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_assembly
# contigs (>= 0 bp)         2296907                                                        2410146                                              2427187                                                       2135887                                                       3115564                                          1723649                                                            1474333                                                            2864321                                                         1757614                                                       1875803                                                            1838070                                          2245151                                             2598700                                                        2155356                                                           2215744                                                      2191032                                            2022217                                                       1766698                                                     
# contigs (>= 1000 bp)      72986                                                          109066                                               172323                                                        167092                                                        290381                                           193400                                                             131567                                                             216762                                                          160193                                                        232304                                                             160637                                           129172                                              149610                                                         163036                                                            99852                                                        156298                                             116098                                                        53236                                                       
# contigs (>= 5000 bp)      1269                                                           3267                                                 8598                                                          7690                                                          18944                                            20802                                                              13902                                                              17543                                                           11476                                                         40491                                                              11330                                            4178                                                5359                                                           12785                                                             2281                                                         16225                                              5484                                                          3031                                                        
# contigs (>= 10000 bp)     430                                                            1217                                                 2317                                                          2152                                                          7075                                             9400                                                               6797                                                               6611                                                            4440                                                          20974                                                              4478                                             508                                                 1565                                                           5401                                                              625                                                          8282                                               2272                                                          982                                                         
# contigs (>= 25000 bp)     105                                                            413                                                  483                                                           528                                                           2431                                             3629                                                               2718                                                               1564                                                            1601                                                          7579                                                               1387                                             28                                                  314                                                            2080                                                              64                                                           3460                                               805                                                           272                                                         
# contigs (>= 50000 bp)     20                                                             187                                                  187                                                           163                                                           1085                                             1554                                                               1159                                                               545                                                             699                                                           2801                                                               562                                              2                                                   104                                                            855                                                               1                                                            1528                                               385                                                           87                                                          
Total length (>= 0 bp)      1020915424                                                     1172058280                                           1321611450                                                    1182864101                                                    2044006904                                       1403695141                                                         1104543571                                                         1701510660                                                      1159029686                                                    1920429548                                                         1172146818                                       1107500258                                          1325999238                                                     1335429612                                                        1035571339                                                   1521387614                                         1069994884                                                    797843129                                                   
Total length (>= 1000 bp)   119546821                                                      232239777                                            370677291                                                     362359564                                                     831229734                                        748076918                                                          533117107                                                          590289083                                                       482387843                                                     1209671370                                                         461958281                                        240871919                                           305650195                                                      497635766                                                         171421589                                                    666077496                                          281909472                                                     120301125                                                   
Total length (>= 5000 bp)   14885621                                                       69028944                                             96466561                                                      88037058                                                      361284415                                        430675854                                                          323764791                                                          245720705                                                       220106713                                                     848697507                                                          203660065                                        31105118                                            74549344                                                       239839981                                                         21147449                                                     426687545                                          101921629                                                     39830430                                                    
Total length (>= 10000 bp)  9230839                                                        55297562                                             54180160                                                      51443232                                                      281066889                                        353015739                                                          275278875                                                          171213997                                                       172805002                                                     712485378                                                          157391301                                        7339433                                             49040795                                                       189584633                                                         10065776                                                     371635474                                          80165849                                                      26097669                                                    
Total length (>= 25000 bp)  4413471                                                        43257916                                             28191347                                                      27664542                                                      212225283                                        263987528                                                          212271475                                                          96750900                                                        130106313                                                     506876477                                                          111293518                                        932734                                              30936546                                                       139823972                                                         2065314                                                      297902225                                          57874127                                                      15495325                                                    
Total length (>= 50000 bp)  1525192                                                        35383343                                             18090286                                                      15407097                                                      165619791                                        192107918                                                          157772178                                                          62291402                                                        99002031                                                      340921830                                                          82489772                                         111569                                              23757558                                                       96750403                                                          68933                                                        230088740                                          43545428                                                      8892639                                                     
# contigs                   72986                                                          109066                                               172323                                                        167092                                                        290381                                           193400                                                             131567                                                             216762                                                          160193                                                        232304                                                             160637                                           129172                                              149610                                                         163036                                                            99852                                                        156298                                             116098                                                        53236                                                       
Largest contig              129298                                                         3730482                                              636802                                                        552968                                                        4528943                                          2982123                                                            6603754                                                            4288982                                                         2980482                                                       4194175                                                            3655658                                          56991                                               5366554                                                        1263573                                                           68933                                                        4651761                                            528630                                                        488081                                                      
Total length                119546821                                                      232239777                                            370677291                                                     362359564                                                     831229734                                        748076918                                                          533117107                                                          590289083                                                       482387843                                                     1209671370                                                         461958281                                        240871919                                           305650195                                                      497635766                                                         171421589                                                    666077496                                          281909472                                                     120301125                                                   
GC (%)                      63.38                                                          63.20                                                60.27                                                         60.41                                                         62.48                                            64.00                                                              63.99                                                              60.14                                                           60.93                                                         64.51                                                              61.44                                            57.41                                               62.34                                                          62.55                                                             60.47                                                        59.04                                              62.17                                                         54.46                                                       
N50                         1494                                                           1992                                                 2207                                                          2239                                                          3594                                             8146                                                               11429                                                              3441                                                            4025                                                          16307                                                              3687                                             1873                                                1970                                                           4515                                                              1623                                                         16173                                              2560                                                          2391                                                        
N75                         1176                                                           1299                                                 1372                                                          1411                                                          1631                                             2242                                                               2306                                                               1587                                                            1717                                                          3687                                                               1642                                             1301                                                1313                                                           1695                                                              1225                                                         2395                                               1415                                                          1340                                                        
L50                         22471                                                          20293                                                37358                                                         37636                                                         31927                                            11736                                                              5982                                                               29572                                                           16204                                                         12474                                                              17769                                            36686                                               33531                                                          14679                                                             30070                                                        5229                                               17029                                                         9177                                                        
L75                         45281                                                          57520                                                92186                                                         89847                                                         123469                                           61796                                                              37528                                                              96556                                                           65444                                                         54178                                                              68184                                            75888                                               82184                                                          64273                                                             60851                                                        38326                                              55852                                                         26822                                                       
# N's per 100 kbp           55.03                                                          48.75                                                45.52                                                         72.59                                                         67.95                                            54.88                                                              23.75                                                              62.05                                                           32.24                                                         25.72                                                              42.07                                            64.72                                               47.29                                                          35.56                                                             48.22                                                        22.44                                              40.30                                                         15.03                                                       
