count,species,genus,family,order,class,phylum,kingdom,superkingdom
122,Siphoviridae sp.,-,Siphoviridae,Caudovirales,Caudoviricetes,Uroviricota,Heunggongvirae,Viruses
96,Bradyrhizobium sp. S2-11-4,Bradyrhizobium,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
544,Bradyrhizobium sp. S2-20-1,Bradyrhizobium,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
17,Actinoplanes sp. L3-i22,Actinoplanes,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,-,Bacteria
1,Octospora gyalectoides,Octospora,Pyronemataceae,Pezizales,Pezizomycetes,Ascomycota,Fungi,Eukaryota
447,Myoviridae sp.,-,Myoviridae,Caudovirales,Caudoviricetes,Uroviricota,Heunggongvirae,Viruses
263,Bradyrhizobium sp. S2-11-2,Bradyrhizobium,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
17,Methylorubrum populi,Methylorubrum,Methylobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
3,Paenibacillus agaridevorans,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
69,Bacillus sp. NP157,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
2,Cheilinus undulatus,Cheilinus,Labridae,Labriformes,Actinopteri,Chordata,Metazoa,Eukaryota
14,Aspergillus niger,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota,Fungi,Eukaryota
9,Podoviridae sp.,-,Podoviridae,Caudovirales,Caudoviricetes,Uroviricota,Heunggongvirae,Viruses
10,Actinoallomurus liliacearum,Actinoallomurus,Thermomonosporaceae,Streptosporangiales,Actinomycetia,Actinobacteria,-,Bacteria
28,Chryseobacterium sp. ZHDP1,Chryseobacterium,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
1,Gelidocalamus xunwuensis,Gelidocalamus,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
1,Lysobacter capsici,Lysobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
4,Bacteriophage sp.,-,-,-,-,-,-,Viruses
7,Trichoderma cornu-damae,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
1,Chryseobacterium sp. PCH239,Chryseobacterium,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
4,Morganella morganii,Morganella,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
6858,Clostridium perfringens,Clostridium,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,-,Bacteria
2,Xanthomonas sp. MLO165,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
2,Rhizobium sp. X9,Rhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
6,Myxococcus xanthus,Myxococcus,Myxococcaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,-,Bacteria
2,Nocardioides sp. LMS-CY,Nocardioides,Nocardioidaceae,Propionibacteriales,Actinomycetia,Actinobacteria,-,Bacteria
182,Xanthomonas citri,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
22,Agrobacterium rhizogenes,Agrobacterium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
1311,uncultured bacterium,-,-,-,-,-,-,Bacteria
45,Oryza sativa,Oryza,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
4,Hebeloma crustuliniforme,Hebeloma,Cortinariaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
1,Gemmobacter fulva,Gemmobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,-,Bacteria
3,Inoviridae sp.,-,Inoviridae,Tubulavirales,Faserviricetes,Hofneiviricota,Loebvirae,Viruses
1,Caudovirales sp.,-,-,Caudovirales,Caudoviricetes,Uroviricota,Heunggongvirae,Viruses
169,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
2,Rhizobium sp. WYJ-E13,Rhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
15,Luteibacter sp.,Luteibacter,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
2,Mycocalicium sp.,Mycocalicium,Mycocaliciaceae,Mycocaliciales,Eurotiomycetes,Ascomycota,Fungi,Eukaryota
46,fungal sp.,-,-,-,-,-,Fungi,Eukaryota
649,Clostridioides difficile,Clostridioides,Peptostreptococcaceae,Eubacteriales,Clostridia,Firmicutes,-,Bacteria
80,Pseudomonas fluorescens,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,uncultured Serratia sp.,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
2,Siphoviridae sp. ct16M3,-,Siphoviridae,Caudovirales,Caudoviricetes,Uroviricota,Heunggongvirae,Viruses
2,Azospira inquinata,Azospira,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,-,Bacteria
1,Pseudarthrobacter sulfonivorans,Pseudarthrobacter,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
2,Hoeflea alexandrii,Hoeflea,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
1,Pseudomonas sp. LAB-08,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
275,Yokenella regensburgei,Yokenella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
88,Bradyrhizobium elkanii,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
175,Bradyrhizobium sp. 1(2017),Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
41,Paraburkholderia aromaticivorans,Paraburkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
65,Chryseobacterium sp. NEB161,Chryseobacterium,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
132,Romboutsia sp. CE17,Romboutsia,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,-,Bacteria
5,Saccharopolyspora sp. ASAGF58,Saccharopolyspora,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,-,Bacteria
7,Sulfurimicrobium lacus,Sulfurimicrobium,Sulfuricellaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,-,Bacteria
7,Chitinophaga sp.,Chitinophaga,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,-,Bacteria
4,Raoultella terrigena,Raoultella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
375,Bradyrhizobium diazoefficiens,Bradyrhizobium,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
4,Bradyrhizobium symbiodeficiens,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
3,Rhodococcus sp. DMU1,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,-,Bacteria
11,Burkholderia pseudomallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
12,Chryseobacterium indologenes,Chryseobacterium,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
1,Aaosphaeria arxii,Aaosphaeria,-,Pleosporales,Dothideomycetes,Ascomycota,Fungi,Eukaryota
14,Lactiplantibacillus plantarum,Lactiplantibacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,-,Bacteria
4,Streptomyces sp. S1D4-11,Streptomyces,Streptomycetaceae,Streptomycetales,Actinomycetia,Actinobacteria,-,Bacteria
6,Phytohabitans suffuscus,Phytohabitans,Micromonosporaceae,Micromonosporales,Actinobacteria,Actinobacteria,-,Bacteria
2,Pseudomonas umsongensis,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,uncultured Legionella sp.,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,-,Bacteria
2,Pseudochaenichthys georgianus,Pseudochaenichthys,Channichthyidae,Perciformes,Actinopteri,Chordata,Metazoa,Eukaryota
12,Pseudomonas chlororaphis,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
2,Nocardia terpenica,Nocardia,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,-,Bacteria
52,Rhizobium leguminosarum,Rhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
