count,species,genus,family,order,class,phylum,kingdom,superkingdom
215,Laccaria bicolor,Laccaria,Tricholomataceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
18,Ktedonobacteria bacterium brp13,-,-,-,Ktedonobacteria,Chloroflexi,-,Bacteria
20,Saccharopolyspora pogona,Saccharopolyspora,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,-,Bacteria
80,Bradyrhizobium sp. SEMIA,Bradyrhizobium,Bradyrhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
6,Lachnospiraceae bacterium NSJ-4,-,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,-,Bacteria
32,Lachnospiraceae bacterium sunii NSJ-8,-,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,-,Bacteria
13,Defluviicoccus vanus,Defluviicoccus,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,-,Bacteria
4,Pseudomonas brassicacearum,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
23,Beauveria bassiana,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
1,Massilia sp. LPB0304,Massilia,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
1,Eremophila scaberula,Eremophila,Scrophulariaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
9,Saccharopolyspora spinosa,Saccharopolyspora,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,-,Bacteria
2,Clostridiales bacterium,-,-,Eubacteriales,Clostridia,Firmicutes,-,Bacteria
2,Rothia amarae,Rothia,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,-,Bacteria
8,Hebeloma angustilamellatum,Hebeloma,Cortinariaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi,Eukaryota
