Taxon,Count
Rahnella aquatilis HX2,1
Arthrobacter sp. PGP41,1
Serratia plymuthica S13,1
Rahnella sp. ChDrPegB39,1
Enterobacter sp. UIWRF1085,1
Massilia consociata,1
Pseudomonas rhodesiae,1
bacterium endosymbiont of Onthophagus Taurus,1
Aranicola sp. N7,1
Frateuria aurantia,1
Stenotrophobacter,1
Pseudescherichia vulneris,1
Rhizobacter sp. Root29,1
uncultured bacterium 5G12,1
uncultured tremellomycete,1
Klebsiella sp. LTGPAF-6F,3
Escherichia coli J96,1
Mycobacterium savoniae,1
bacterium NTL255,1
Aranicola sp. EP18,1
Hafnia sp. HC2-21,1
Rhodanobacter sp. C05,1
Rahnella inusitata,2
Pseudarthrobacter defluvii,1
Klebsiella michiganensis,2
Lelliottia jeotgali,1
Arthrobacter livingstonensis,1
uncultured Ferruginibacter sp.,1
Hafnia sp. HC4-4,1
Arthrobacter sp. S20710,1
Enterobacteriaceae bacterium A45(2010),1
Pseudomonas proteolytica,1
Aranicola sp. TC-R1,1
Franconibacter,1
Exiguobacteraceae,1
Arthrobacter sp. AP6-L1,1
Siccibacter,1
uncultured Dokdonella sp.,1
bacterium Ellin6034,1
Pseudomonas fluorescens NZ007,1
Exiguobacterales,1
Serratia sp. WGR702,1
Rahnella sp. NJ-6,1
Pseudomonas yamanorum,1
Hafnia sp. NJ-71,1
Rhodanobacter sp. C06,1
Exiguobacterium,1
BD2-11 terrestrial group,1
Exiguobacterium aurantiacum,1
Klebsiella sp. NGB-FR-120,1
Enterobacter sp. JC414,1
Enterobacter sp. SUS2EA,1
glacier bacterium FXS25,1
Hafnia psychrotolerans,1
Nitrosospira sp.,1
Hafnia sp. HC4-6,1
bacterium JA11,1
Bemisia tabaci,1
Curtobacterium sp. Leaf261,1
Klebsiella oxytoca 10-5243,1
Arthrobacter sp. ACT068,1
Bradyrhizobium sp. Crj-1,1
Rugamonas rubra,1
Enterobacter asburiae L1,1
Arthrobacter sp. Soil762,1
Yokenella,1
bacterium E1-13,1
Hemiptera,1
Granulicella paludicola,1
Mucilaginibacter mallensis,1
Salmonella enterica,1
proteobacterium Ellin139,1
Rugamonas,1
uncultured eubacterium WD276,1
