All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_S0_L001_scaffolds  DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_S0_L001_scaffolds  DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_S0_L001_scaffolds  DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_S0_L001_scaffolds  DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_S0_L001_scaffolds  DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_S0_L001_scaffolds  DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_S0_L001_scaffolds  DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_S0_L001_scaffolds  DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_S0_L001_scaffolds  DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_S0_L001_scaffolds  DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_S0_L001_scaffolds  DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_S0_L001_scaffolds  DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_S0_L001_scaffolds  DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_S0_L001_scaffolds  DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_S0_L001_scaffolds  DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_S0_L001_scaffolds  DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_S0_L001_scaffolds  DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_S0_L001_scaffolds
# contigs (>= 0 bp)         2293909                                                                 2405473                                                       2419515                                                                2129375                                                                3110397                                                   1703100                                                                     1467302                                                                     2843019                                                                  1748741                                                                1851688                                                                     1825911                                                   2239835                                                      2593151                                                                 2143463                                                                    2211953                                                               2179088                                                     2014828                                                                1761368                                                              
# contigs (>= 1000 bp)      72579                                                                   107694                                                        171355                                                                 165597                                                                 288760                                                    180527                                                                      124635                                                                      202874                                                                   155202                                                                 200675                                                                      154318                                                    128794                                                       148756                                                                  155099                                                                     99350                                                                 142233                                                      113792                                                                 51983                                                                
# contigs (>= 5000 bp)      1065                                                                    2376                                                          8377                                                                   7213                                                                   17323                                                     13593                                                                       9134                                                                        10227                                                                    8330                                                                   18231                                                                       8260                                                      3967                                                         5012                                                                    7881                                                                       2150                                                                  6402                                                        4042                                                                   2314                                                                 
# contigs (>= 10000 bp)     318                                                                     521                                                           1891                                                                   1854                                                                   5305                                                      4427                                                                        3295                                                                        2735                                                                     2130                                                                   6855                                                                        2201                                                      404                                                          1287                                                                    2207                                                                       486                                                                   2009                                                        1294                                                                   499                                                                  
# contigs (>= 25000 bp)     68                                                                      94                                                            245                                                                    434                                                                    1320                                                      1053                                                                        907                                                                         473                                                                      415                                                                    2001                                                                        299                                                       6                                                            196                                                                     450                                                                        27                                                                    656                                                         434                                                                    84                                                                   
# contigs (>= 50000 bp)     13                                                                      46                                                            84                                                                     130                                                                    516                                                       360                                                                         321                                                                         148                                                                      167                                                                    745                                                                         87                                                        1                                                            37                                                                      126                                                                        0                                                                     288                                                         236                                                                    37                                                                   
Total length (>= 0 bp)      1015703184                                                              1128704092                                                    1302181869                                                             1169242775                                                             1907065595                                                1132725293                                                                  908493947                                                                   1540609504                                                               1036704507                                                             1317224396                                                                  1045380198                                                1102265941                                                   1301984950                                                              1170633652                                                                 1030583950                                                            1180362215                                                  1031993215                                                             780473188                                                            
Total length (>= 1000 bp)   115128433                                                               190180353                                                     354026778                                                              350704357                                                              695975295                                                 480363339                                                                   337259334                                                                   431610393                                                                361762348                                                              601054976                                                                   337959617                                                 237515152                                                    283251895                                                               333914614                                                                  167695046                                                             322805499                                                   245960236                                                              104321278                                                            
Total length (>= 5000 bp)   11252179                                                                28575878                                                      80546589                                                               78490583                                                               225493477                                                 178160884                                                                   134064198                                                                   107621153                                                                104767883                                                              275137786                                                                   87131667                                                  28287243                                                     53105003                                                                85809632                                                                   18257955                                                              98895838                                                    67914839                                                               25342696                                                             
Total length (>= 10000 bp)  6320704                                                                 16182505                                                      37240519                                                               43127093                                                               144737470                                                 116484128                                                                   94607653                                                                    57522193                                                                 63458538                                                               197477959                                                                   46634122                                                  5296105                                                      28142980                                                                47426095                                                                   7111689                                                               69498648                                                    49518696                                                               13277591                                                             
