DTU_2021_1010000_1_MG_Nar_ID1_SFA_P1_0_5_S0_L001_R1_001.singletons.fq.gz,1364426,177881416
DTU_2021_1010000_1_MG_Nar_ID1_SFA_P1_0_5_S0_L001_R1_001.trim.fq.gz,41759296,6184263511
DTU_2021_1010000_1_MG_Nar_ID1_SFA_P1_0_5_S0_L001_R2_001.trim.fq.gz,41759296,6122356213
DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_S0_L001_R1_001.singletons.fq.gz,1426808,186592155
DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_S0_L001_R1_001.trim.fq.gz,41683413,6171491351
DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_S0_L001_R2_001.trim.fq.gz,41683413,6097130650
DTU_2021_1010002_1_MG_Nar_ID3_SFA_P2_0_5_S0_L001_R1_001.singletons.fq.gz,2012158,262670455
DTU_2021_1010002_1_MG_Nar_ID3_SFA_P2_0_5_S0_L001_R1_001.trim.fq.gz,44822845,6636197758
DTU_2021_1010002_1_MG_Nar_ID3_SFA_P2_0_5_S0_L001_R2_001.trim.fq.gz,44822845,6517332843
DTU_2021_1010003_1_MG_Nar_ID4_SFA_P2_5_10_S0_L001_R1_001.singletons.fq.gz,1845473,237449448
DTU_2021_1010003_1_MG_Nar_ID4_SFA_P2_5_10_S0_L001_R1_001.trim.fq.gz,48718516,7210671472
DTU_2021_1010003_1_MG_Nar_ID4_SFA_P2_5_10_S0_L001_R2_001.trim.fq.gz,48718516,7102945842
DTU_2021_1010004_1_MG_Nar_ID5_SFA_P3_0_5_S0_L001_R1_001.singletons.fq.gz,1928434,251008941
DTU_2021_1010004_1_MG_Nar_ID5_SFA_P3_0_5_S0_L001_R1_001.trim.fq.gz,51168387,7578745928
DTU_2021_1010004_1_MG_Nar_ID5_SFA_P3_0_5_S0_L001_R2_001.trim.fq.gz,51168387,7483067060
DTU_2021_1010005_1_MG_Nar_ID6_SFA_P3_5_10_S0_L001_R1_001.singletons.fq.gz,1576580,204140986
DTU_2021_1010005_1_MG_Nar_ID6_SFA_P3_5_10_S0_L001_R1_001.trim.fq.gz,42830719,6343270482
DTU_2021_1010005_1_MG_Nar_ID6_SFA_P3_5_10_S0_L001_R2_001.trim.fq.gz,42830719,6266760114
DTU_2021_1010006_1_MG_Nar_ID7_SFA_P4_0_5_S0_L001_R1_001.singletons.fq.gz,1688956,220964404
DTU_2021_1010006_1_MG_Nar_ID7_SFA_P4_0_5_S0_L001_R1_001.trim.fq.gz,41382579,6125297514
DTU_2021_1010006_1_MG_Nar_ID7_SFA_P4_0_5_S0_L001_R2_001.trim.fq.gz,41382579,6022657802
DTU_2021_1010007_1_MG_Nar_ID8_SFA_P4_5_10_S0_L001_R1_001.singletons.fq.gz,1641697,213348153
DTU_2021_1010007_1_MG_Nar_ID8_SFA_P4_5_10_S0_L001_R1_001.trim.fq.gz,46379157,6866175864
DTU_2021_1010007_1_MG_Nar_ID8_SFA_P4_5_10_S0_L001_R2_001.trim.fq.gz,46379157,6778759768
DTU_2021_1010008_1_MG_Nar_ID12_SFA_P4_0_5_C4_S61_L001_R1_001.singletons.fq.gz,1886082,243584841
DTU_2021_1010008_1_MG_Nar_ID12_SFA_P4_0_5_C4_S61_L001_R1_001.trim.fq.gz,55172646,8041634924
DTU_2021_1010008_1_MG_Nar_ID12_SFA_P4_0_5_C4_S61_L001_R2_001.trim.fq.gz,55172646,7992695645
DTU_2021_1010009_1_MG_Nar_ID13_SFB_P5_0_5_C1_S0_L001_R1_001.singletons.fq.gz,1937162,261765319
DTU_2021_1010009_1_MG_Nar_ID13_SFB_P5_0_5_C1_S0_L001_R1_001.trim.fq.gz,47216872,7014144882
DTU_2021_1010009_1_MG_Nar_ID13_SFB_P5_0_5_C1_S0_L001_R2_001.trim.fq.gz,47216872,6835836634
DTU_2021_1010010_1_MG_Nar_ID16_SFB_P5_0_5_C4_S0_L001_R1_001.singletons.fq.gz,1567951,212798221
DTU_2021_1010010_1_MG_Nar_ID16_SFB_P5_0_5_C4_S0_L001_R1_001.trim.fq.gz,47162690,7024494591
DTU_2021_1010010_1_MG_Nar_ID16_SFB_P5_0_5_C4_S0_L001_R2_001.trim.fq.gz,47162690,6853922292
DTU_2021_1010011_1_MG_Nar_ID17_SFB_P5_0_5_S0_L001_R1_001.singletons.fq.gz,1752454,235945954
