DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_SE.fq.gz,410573,943237736
DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_SE.fq.gz,707164,2150601565
DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_SE.fq.gz,557076,1098743885
DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_SE.fq.gz,400952,1057965028
DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_SE.fq.gz,482988,1251349077
DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_SE.fq.gz,759041,1406065198
DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_SE.fq.gz,512814,1241177694
DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_SE.fq.gz,468568,859854207
DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_SE.fq.gz,476815,1981911519
DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_SE.fq.gz,816185,2454756527
DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_SE.fq.gz,1671206,5273397297
DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_SE.fq.gz,577461,1984063255
DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_SE.fq.gz,518934,1602018165
DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_SE.fq.gz,325431,921085998
DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_SE.fq.gz,3408355,4628593506
DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_SE.fq.gz,2091796,5500866367
DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_SE.fq.gz,540912,2156723051
DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_SE.fq.gz,630783,2073136737
