Taxon,Count
Serratia sp. TV91May,1
FCPU426,1
Methylocapsa aurea,1
Bacillus sp. 7B-635,1
Bacillus sp. MUSC163,1
Serratia plymuthica S13,1
Serratia sp. R50,1
Serratia sp. CECRI-SR-17,1
Bacillus sp. DB14387,1
Monhysterida,1
Serratia sp. SK-3-30-2,1
Serratia plymuthica PRI-2C,2
Sporosarcina sp. THG-b65,1
uncultured eubacterium WD213,1
Terracidiphilus,1
Serratia sp. LCN16,1
Mortierella sp. BlackDot,1
Bradyrhizobium sp. LTSPM299,1
Rouxiella badensis,1
Enterobacteriaceae bacterium KVD-1982-12,1
Thelebolus microsporus,1
Bacillus sp. LF1,1
Serratia sp. TWJ22,1
Mesorhizobium loti,1
Bacillus sp. HZ-B,1
Spongiibacteraceae,1
Bacillus sp. P-43,1
gamma proteobacterium UDC334,1
Spongiibacter,1
Limibaculum,1
bacterium Ellin314,1
Bacillus sp. MD1,1
Serratia sp. X3Bc3,1
Obesumbacterium proteus,1
bacterium Ellin7504,1
Lobosporangium transversale,1
Byssovorax,1
Byssovorax cruenta,1
NS11-12 marine group,1
